Game,Minutes,ScoreDiff,LeadingTeam
0041500407,9.93333333333333,-1,Team B
0041500407,10.583333333333336,-3,Team B
0041500407,11.56666666666667,-1,Team B
0041500407,12.0,1,Team A
0041500407,12.0,1,Team A
0041500407,12.06666666666667,1,Team A
0041500407,12.883333333333333,-1,Team B
0041500407,13.31666666666667,1,Team A
0041500407,13.600000000000001,-2,Team B
0041500407,13.93333333333333,0,Tied
0041500407,14.5,-2,Team B
0041500407,14.700000000000003,-5,Team B
0041500407,15.049999999999997,-6,Team B
0041500407,15.049999999999997,-5,Team B
0041500407,15.049999999999997,-4,Team B
0041500407,15.299999999999997,-6,Team B
0041500407,15.299999999999997,-7,Team B
0041500407,15.616666666666667,-6,Team B
0041500407,15.616666666666667,-5,Team B
0041500407,16.0,-7,Team B
0041500407,16.366666666666667,-4,Team B
0041500407,16.55,-5,Team B
0041500407,16.55,-6,Team B
0041500407,16.85,-2,Team B
0041500407,16.85,-3,Team B
0041500407,18.4,-1,Team B
0041500407,18.733333333333334,2,Team A
0041500407,18.733333333333334,1,Team A
0041500407,19.233333333333334,3,Team A
0041500407,19.666666666666668,5,Team A
0041500407,20.35,2,Team A
0041500407,20.883333333333333,0,Tied
0041500407,21.566666666666666,2,Team A
0041500407,22.133333333333333,5,Team A
0041500407,22.55,8,Team A
0041500407,23.016666666666666,6,Team A
0041500407,23.183333333333334,3,Team A
0041500407,23.633333333333333,5,Team A
0041500407,24.0,7,Team A
0041500407,24.0,7,Team A
0041500407,24.85,7,Team A
0041500407,25.15,6,Team A
0041500407,25.15,5,Team A
0041500407,26.133333333333333,7,Team A
0041500407,26.45,3,Team A
0041500407,26.45,4,Team A
0041500407,27.516666666666666,1,Team A
0041500407,27.75,3,Team A
0041500407,27.983333333333334,1,Team A
0041500407,27.983333333333334,0,Tied
0041500407,28.15,3,Team A
0041500407,28.466666666666665,0,Tied
0041500407,29.933333333333334,2,Team A
0041500407,30.166666666666668,-1,Team B
0041500407,30.866666666666667,0,Tied
0041500407,30.866666666666667,1,Team A
0041500407,31.033333333333335,-1,Team B
0041500407,31.033333333333335,-2,Team B
0041500407,32.81666666666666,2,Team A
0041500407,33.166666666666664,-1,Team B
0041500407,33.55,1,Team A
0041500407,34.55,-1,Team B
0041500407,35.7,1,Team A
0041500407,36.0,-1,Team B
0041500407,36.0,-1,Team B
0041500407,36.06666666666666,0,Tied
0041500407,36.06666666666666,-1,Team B
0041500407,36.416666666666664,1,Team A
0041500407,36.61666666666667,1,Team A
0041500407,36.61666666666667,0,Tied
0041500407,37.1,2,Team A
0041500407,37.43333333333334,3,Team A
0041500407,37.666666666666664,1,Team A
0041500407,38.0,3,Team A
