Player,Metric,Value,PerGame
Tim Duncan,STL,0.3139887892171655,0.7363505747126436
Paul Pierce,STL,0.556272513537,1.304542069992554
John Havlicek*,STL,0.15982059521796055,0.37480314960629924
Kevin Garnett,STL,0.5422025167951401,1.2715458276333789
Alex English*,STL,0.3813761127126482,0.8943839061190276
Reggie Miller*,STL,0.4620231813435832,1.0835133189344852
Kareem Abdul-Jabbar*,BLK,0.6607722434223738,2.044230769230769
Karl Malone*,BLK,0.25075003360999665,0.7757452574525745
Kobe Bryant,BLK,0.15369395443030115,0.475482912332838
Michael Jordan*,BLK,0.269264155722692,0.8330223880597015
Wilt Chamberlain*,BLK,0.0,0.0
Dirk Nowitzki,BLK,0.2824271120917322,0.8737446197991392
LeBron James,BLK,0.24890209000327293,0.7700282752120641
