player,team,height,weight
Carlik Jones,CHI,182.88,78.92500799999999
Carlos Arroyo,BOS,187.96,90.7184
Carlos Boozer,LAL,205.74,117.026736
Carlos Delfino,HOU,198.12,104.32616
Carlos Rogers,IND,210.82,105.233344
Carmelo Anthony,LAL,200.66,107.954896
Caron Butler,SAC,200.66,103.418976
Carrick Felix,CLE,198.12,91.171992
Carsen Edwards,DET,180.34,90.7184
Cartier Martin,DET,200.66,99.79024
Casey Jacobsen,MEM,198.12,97.52228
Casey Shaw,PHI,210.82,117.93392
Casper Ware,PHI,177.8,79.3786
Cassius Stanley,DET,195.58,86.18248
Cassius Winston,WAS,185.42,83.91452
Cat Barber,ATL,185.42,78.471416
Cedi Osman,CLE,200.66,104.32616
Cedric Bozeman,ATL,198.12,93.893544
Cedric Ceballos,MIA,200.66,99.79024
Cedric Henderson,GSW,200.66,102.0582
Cedric Jackson,WAS,190.5,86.18248
Cedric Simmons,SAC,205.74,106.59412
Cezary Trybanski,NYK,218.44,108.86208
Chance Comanche,POR,208.28,95.25432
Chandler Hutchison,PHX,198.12,95.25432
Chandler Parsons,ATL,205.74,104.32616
Channing Frye,CLE,213.36,115.66596
Charles Barkley,HOU,198.12,114.305184
Charles Bassey,SAS,205.74,104.32616
Charles Cooke,NOP,195.58,88.904032
Charles Jenkins,PHI,190.5,97.52228
Charles Jones,HOU,205.74,97.52228
Charles O'Bannon,DET,195.58,94.800728
Charles Oakley,HOU,205.74,111.13004
Charles R. Jones,LAC,190.5,81.64656
Charles Shackleford,CHH,210.82,111.13004
Charles Smith,DEN,193.04,90.7184
Charlie Bell,GSW,190.5,90.7184
Charlie Brown Jr.,PHI,198.12,90.264808
Charlie Villanueva,DAL,210.82,105.233344
Charlie Ward,HOU,187.96,83.91452
Chase Budinger,PHX,200.66,94.800728
Chasson Randle,ORL,187.96,83.91452
Chauncey Billups,DET,190.5,95.25432
Chaundee Brown Jr.,ATL,195.58,97.52228
Cheick Diallo,DET,203.2,99.336648
Cheikh Samb,NYK,215.9,111.13004
Cherokee Parks,GSW,210.82,108.86208
Chima Moneke,SAC,195.58,101.151016
Chimezie Metu,SAC,205.74,102.0582
Chinanu Onuaku,HOU,208.28,111.13004
Chris Andersen,CLE,208.28,111.13004
Chris Anstey,CHI,213.36,112.944408
Chris Babb,BOS,195.58,102.0582
Chris Bosh,MIA,210.82,106.59412
Chris Boucher,TOR,205.74,90.7184
Chris Carr,BOS,198.12,99.79024
Chris Childs,NJN,190.5,88.45044
Chris Chiozza,GSW,180.34,79.3786
Chris Clemons,HOU,175.26,81.64656
Chris Copeland,MIL,205.74,108.408488
Chris Crawford,ATL,205.74,106.59412
Chris Douglas-Roberts,LAC,200.66,95.25432
Chris Duarte,IND,195.58,86.18248
Chris Dudley,POR,210.82,117.93392
Chris Duhon,LAL,185.42,86.18248
Chris Garner,GSW,177.8,70.760352
Chris Gatling,MIA,208.28,99.79024
Chris Herren,BOS,187.96,86.18248
Chris Hunter,GSW,210.82,108.86208
Chris Jefferies,CHI,203.2,104.32616
Chris Jent,NYK,200.66,99.79024
Chris Johnson,UTA,198.12,93.439952
Chris Kaman,POR,213.36,120.20188
Chris King,UTA,203.2,97.52228
Chris McCray,MIL,195.58,87.089664
Chris McCullough,WAS,205.74,97.52228
Chris Mihm,LAL,213.36,120.20188
Chris Mills,GSW,200.66,99.79024
Chris Morris,PHX,203.2,103.418976
Chris Mullin,GSW,198.12,90.7184
Chris Owens,MEM,200.66,111.13004
Chris Paul,PHX,182.88,79.3786
Chris Porter,GSW,200.66,98.883056
Chris Quinn,CLE,187.96,79.3786
Chris Richard,CHI,205.74,116.119552
Chris Robinson,SAC,195.58,90.7184
Chris Silva,DAL,203.2,106.140528
Chris Singleton,WAS,205.74,103.418976
Chris Smith,NYK,187.96,90.7184
Chris Taft,GSW,208.28,118.38751200000002
Chris Webber,GSW,208.28,111.13004
Chris Whitney,WAS,182.88,79.3786
Chris Wilcox,BOS,208.28,106.59412
Chris Wright,MIL,205.74,102.511792
Christian Braun,DEN,198.12,99.79024
Christian Eyenga,LAL,200.66,95.25432
Christian Koloko,TOR,213.36,104.32616
Christian Laettner,MIA,210.82,111.13004
Christian Wood,DAL,205.74,97.068688
Chuck Hayes,LAC,198.12,108.86208
Chuck Person,SEA,203.2,109.315672
Chucky Atkins,DET,180.34,83.91452
Chucky Brown,SAC,203.2,99.79024
Chuma Okeke,ORL,203.2,103.872568
Clar. Weatherspoon,HOU,200.66,122.46984
Cleanthony Early,NYK,203.2,95.25432
Cliff Alexander,POR,203.2,108.86208
Clifford Robinson,NJN,208.28,111.13004
Clifford Rozier,MIN,210.82,111.13004
Clint Capela,ATL,208.28,116.119552
Clyde Drexler,HOU,200.66,100.697424
Coby Karl,GSW,195.58,97.52228
Coby White,CHI,195.58,88.45044
Cody Martin,CHA,198.12,92.98636
Cody Zeller,MIA,210.82,108.86208
Cole Aldrich,MIN,210.82,114.758776
Cole Anthony,ORL,190.5,83.91452
Cole Swider,LAL,205.74,99.79024
Collin Sexton,UTA,187.96,86.18248
Corey Beck,CHH,190.5,90.7184
Corey Benjamin,ATL,198.12,90.7184
Corey Brewer,SAC,205.74,85.275296
