PLAYER_NAME,LOC_X,LOC_Y,SHOT_MADE_FLAG,SHOT_TYPE,SHOT_DISTANCE,TEAM_NAME,SEASON
LeBron James,-60,222,0,2PT Field Goal,22,Miami Heat,2012-13 Season
LeBron James,21,6,1,2PT Field Goal,2,Miami Heat,2012-13 Season
LeBron James,95,129,0,2PT Field Goal,16,Miami Heat,2012-13 Season
LeBron James,12,86,1,2PT Field Goal,8,Miami Heat,2012-13 Season
LeBron James,2,11,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,59,17,0,2PT Field Goal,6,Miami Heat,2012-13 Season
LeBron James,36,67,0,2PT Field Goal,7,Miami Heat,2012-13 Season
LeBron James,-81,137,1,2PT Field Goal,15,Miami Heat,2012-13 Season
LeBron James,-134,131,1,2PT Field Goal,18,Miami Heat,2012-13 Season
LeBron James,136,112,0,2PT Field Goal,17,Miami Heat,2012-13 Season
LeBron James,91,134,0,2PT Field Goal,16,Miami Heat,2012-13 Season
LeBron James,1,118,0,2PT Field Goal,11,Miami Heat,2012-13 Season
LeBron James,-198,154,1,3PT Field Goal,25,Miami Heat,2012-13 Season
LeBron James,-161,71,0,2PT Field Goal,17,Miami Heat,2012-13 Season
LeBron James,-2,14,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,6,3,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,228,28,0,3PT Field Goal,22,Miami Heat,2012-13 Season
LeBron James,-60,249,1,3PT Field Goal,25,Miami Heat,2012-13 Season
LeBron James,-2,257,0,3PT Field Goal,25,Miami Heat,2012-13 Season
LeBron James,1,9,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,10,1,0,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,-2,9,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,-18,6,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,-108,121,0,2PT Field Goal,16,Miami Heat,2012-13 Season
LeBron James,-202,151,1,3PT Field Goal,25,Miami Heat,2012-13 Season
LeBron James,179,172,0,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,3,9,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,9,17,0,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,7,61,1,2PT Field Goal,6,Miami Heat,2012-13 Season
LeBron James,108,407,0,3PT Field Goal,42,Miami Heat,2012-13 Season
LeBron James,10,1,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,31,17,0,2PT Field Goal,3,Miami Heat,2012-13 Season
LeBron James,13,-2,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,17,257,0,3PT Field Goal,25,Miami Heat,2012-13 Season
LeBron James,-4,6,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,12,211,1,2PT Field Goal,21,Miami Heat,2012-13 Season
LeBron James,-138,162,1,2PT Field Goal,21,Miami Heat,2012-13 Season
LeBron James,110,227,1,3PT Field Goal,25,Miami Heat,2012-13 Season
LeBron James,1,12,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,136,206,1,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,-106,118,1,2PT Field Goal,15,Miami Heat,2012-13 Season
LeBron James,-202,149,1,3PT Field Goal,25,Miami Heat,2012-13 Season
LeBron James,7,9,0,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,-62,28,0,2PT Field Goal,6,Miami Heat,2012-13 Season
LeBron James,-70,252,0,3PT Field Goal,26,Miami Heat,2012-13 Season
LeBron James,1,6,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,0,115,1,2PT Field Goal,11,Miami Heat,2012-13 Season
LeBron James,-2,12,0,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,-142,121,1,2PT Field Goal,18,Miami Heat,2012-13 Season
LeBron James,121,217,0,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,20,3,1,2PT Field Goal,2,Miami Heat,2012-13 Season
LeBron James,7,86,0,2PT Field Goal,8,Miami Heat,2012-13 Season
LeBron James,17,6,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,47,31,1,2PT Field Goal,5,Miami Heat,2012-13 Season
LeBron James,-163,200,0,3PT Field Goal,25,Miami Heat,2012-13 Season
LeBron James,-111,181,0,2PT Field Goal,21,Miami Heat,2012-13 Season
LeBron James,1,12,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,12,11,0,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,18,9,0,2PT Field Goal,2,Miami Heat,2012-13 Season
LeBron James,0,14,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,51,61,1,2PT Field Goal,7,Miami Heat,2012-13 Season
LeBron James,0,258,0,3PT Field Goal,25,Miami Heat,2012-13 Season
LeBron James,-13,7,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,-171,181,1,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,4,80,1,2PT Field Goal,8,Miami Heat,2012-13 Season
LeBron James,-2,9,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,0,67,0,2PT Field Goal,6,Miami Heat,2012-13 Season
LeBron James,12,7,0,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,81,148,0,2PT Field Goal,16,Miami Heat,2012-13 Season
LeBron James,2,11,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,-5,-6,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,-123,20,0,2PT Field Goal,12,Miami Heat,2012-13 Season
LeBron James,-128,-33,1,2PT Field Goal,13,Miami Heat,2012-13 Season
LeBron James,78,156,0,2PT Field Goal,17,Miami Heat,2012-13 Season
LeBron James,-196,67,0,2PT Field Goal,20,Miami Heat,2012-13 Season
LeBron James,106,72,0,2PT Field Goal,12,Miami Heat,2012-13 Season
LeBron James,-4,-3,1,2PT Field Goal,0,Miami Heat,2012-13 Season
